name,is_male,is_fictional,age,is_married,is_turkish,from_movie,from_anime,from_tv_series,is_politician,is_actor,is_singer,is_sportsman,is_historical,popularity_score,height_cm,has_children,is_alive,birth_year,category,nationality,has_beard,wears_glasses,is_football_player,is_rapper,is_youtuber,known_for,is_director,is_model,is_comedian,is_tv_host,is_villain,is_superhero,burc,likes_strawberry_milk,has_dog,has_cat,favorite_food,spotify_listeners_million,played_for_galatasaray,played_for_fenerbahce,played_for_besiktas,played_for_real_madrid,won_ballon_dor,won_oscar,won_grammy,divorced,has_famous_partner,is_bald,has_tattoo,known_for_80s
Sydney Sweeney,1,0,29,1,0,1,0,1,0,1,0,0,0,88,0,1,1,1997,Oyuncu,Amerikalı,1,0,0,0,0,"Euphoria Cassie, White Lotus, sosyal medya popülerliği",0,0,0,0,0,0,Koç,0,0,0,pizza,0.0,0,0,0,0,0,0,0,1,0,0,1,0
Menderes Samancılar,1,0,72,0,1,1,0,1,0,1,0,0,0,76,172,1,1,1954,Oyuncu,Türk,1,0,0,0,0,"Züğürt Ağa, Sürü, gerçekçi Anadolu rolleri, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Terazi,0,1,0,kokoreç,0.0,0,0,0,0,0,0,0,0,0,0,1,1
Edis,1,0,33,0,1,0,0,0,0,1,1,0,0,92,180,0,1,1990,Şarkıcı,Türk,0,0,0,0,0,Martılar Arıyorum,0,0,0,0,0,0,Sagitarius,1,1,0,Hamburger,4.1,0,0,0,0,0,0,0,0,0,1,1,0
Didier Drogba,1,0,46,1,0,1,0,0,0,0,0,1,0,95,189,3,1,1978,Futbolcu,Fildişi Sahili,1,0,1,0,0,Galatasaray ve Chelsea efsanesi,0,0,0,0,0,0,Pisces,0,0,0,Fufu,0,1,0,0,0,0,0,0,1,0,0,0,0
Martian Manhunter,1,1,0,0,0,1,0,1,0,0,0,0,0,80,201,0,1,0,0,Kurgusal Kahraman,Amerikalı,1,0,0,0,0,"shapeshifting, telepathy, last Martian",0,0,0,0,0,İkizler,1,0,0,burger,1,0,0,0,0,0,0,0,0,0,0,0,0
Pınar Deniz,0,0,33,1,1,1,0,1,0,1,0,0,0,88,0,0,1,1993,Oyuncu,Türk,0,0,0,0,0,"Yargı Ceylin, Aşk 101 Burcu, Kırmızı Oda, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Yay,0,0,0,zeytinyağlı dolma,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Kemal Sunal,1,0,82,1,1,1,0,1,0,1,0,0,0,98,0,0,0,1944,Oyuncu,Türk,0,0,0,0,0,"Hababam Sınıfı Şaban, Tosun Paşa, Süt Kardeşler, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Başak,1,1,0,lahmacun,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Sailor Moon,0,1,0,0,0,1,1,1,0,0,0,0,0,90,150,0,1,0,Anime Karakteri,Kurgusal,0,0,0,0,0,"Moon Prism Power, Usagi Tsukino, magical girl dönüşümü",0,0,0,0,0,1,Yengeç,0,0,1,elmalı turta,0.0,0,0,0,0,0,0,0,0,0,0,0,0
İsmail Hacıoğlu,1,0,41,1,1,1,0,1,0,1,0,0,0,78,172,1,1,1985,Oyuncu,Türk,1,0,0,0,0,"Ayla, Kabadayı, Cem Karaca'nın Gözyaşları",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Ronaldinho,1,0,44,0,0,0,0,0,0,0,0,1,0,99,181,1,1,1980,Futbolcu,Brezilya,1,0,1,0,0,Gülümseyen büyücü, 2005 Ballon d'Or,0,0,0,0,0,0,Koç,0,1,0,Feijoada,0.0,0,0,0,0,1,0,0,1,0,0,1,0
Ursula,0,1,50,0,0,1,0,1,0,0,0,0,1,96,170,0,0,0,Villain,Deniz,0,0,0,0,0,Küçük Deniz Kızı'nın sesini çalan cadı,0,0,0,0,1,0,Yay,0,0,0,Karides,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Torres,1,0,41,1,0,0,0,0,0,0,0,1,0,82,186,1,1,1984,Futbolcu,İspanyol,0,0,1,0,0,"Atletico Madrid, Liverpool, Euro 2008 final golü",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kafalar Fatih Yasin,1,0,32,1,1,1,0,1,0,1,0,0,0,75,175,0,1,1994,Youtuber,Türk,1,0,0,0,1,"Kafalar, komedi skeçleri, Kafalar Karışık",0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
Erkan Can,1,0,68,1,1,1,0,1,0,1,0,0,0,82,170,1,1,1958,Oyuncu,Türk,1,0,0,0,0,"Gemide, Takva, Kara Melek",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Nasreddin Hoca,1,0,70,1,1,0,0,1,0,0,0,0,1,98,165,2,0,1208,Bilge,Türk,1,0,0,0,0,Eşeğe ters binen nüktedan bilge,0,0,1,0,0,0,Koç,0,0,1,Yöresel,0.0,0,0,0,0,0,0,0,0,0,1,0,0
Doğukan Güngör,1,0,30,1,1,1,0,1,0,1,0,0,0,78,180,0,1,1996,Oyuncu,Türk,0,0,0,0,0,"Kızılcık Şerbeti Fatih, Zümrüdüanka, Meryem, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Boğa,0,1,1,kuru fasulye,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Kristen Stewart,0,0,34,0,0,1,0,0,0,1,0,0,0,94,165,0,1,1990,Oyuncu,ABD,0,0,0,0,0,Twilight Bella ve Spencer Diana,0,0,0,0,0,0,Aries,1,1,1,Suşi,0.0,0,0,0,0,0,0,0,1,0,0,1,0
Yıldız Tilbe,0,0,60,1,1,0,0,0,0,0,1,0,0,90,0,1,1,1966,Müzisyen,Türk,0,0,0,0,0,"Delikanlım, Vazgeçtim, kendine has dansı, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Oğlak,0,1,1,kokoreç,8.2,0,0,0,0,0,0,0,1,0,0,0,0
Selahaddin Eyyubi,1,0,56,1,0,1,0,1,1,0,0,0,1,97,178,3,0,1137,Komutan,Kürt,1,0,0,0,0,Kudüs fatihi büyük komutan,0,0,0,0,0,0,Oğlak,0,0,0,Kuzu,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Asuna Yuuki,1,1,0,0,0,0,1,1,0,0,0,0,0,88,168,0,1,0,Anime Karakteri,Kurgusal,0,0,0,0,0,"Sword Art Online, Lightning Flash, rapier ustası",0,0,0,0,0,1,Yengeç,1,0,1,elmalı turta,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Meruem,1,1,0,0,0,0,1,1,0,0,0,0,0,86,170,0,1,0,Anime Karakteri,Kurgusal,0,0,0,0,0,"Hunter x Hunter, Chimera Ant kralı, Komugi ile Gungi bağı",0,0,0,0,1,1,Akrep,0,0,1,dondurma,0.0,0,0,0,0,0,0,0,0,0,0,0,0
George Clooney,1,0,65,0,0,1,0,1,0,1,0,0,0,94,180,1,1,1961,Oyuncu,Amerikalı,1,0,0,0,0,"ER Dr. Ross, Ocean's Eleven, politik aktivizm",0,0,0,0,0,0,Terazi,0,1,0,ramen,0.0,0,0,0,0,0,0,0,0,0,0,1,1
Müslüm Gürses,1,0,59,1,1,1,0,0,0,1,1,0,0,96,175,0,0,1953,Şarkıcı,Türk,1,0,0,0,0,Müslüm Baba,0,0,0,0,0,0,Taurus,0,0,0,Acılı Kebap,3.5,0,0,0,0,0,0,0,0,0,0,0,1
Jack Nicholson,1,0,89,0,0,1,0,1,0,1,0,0,0,98,177,1,1,1937,Oyuncu,Amerikalı,1,0,0,0,0,"The Shining Jack Torrance, Joker, One Flew Over the Cuckoo's Nest",0,0,0,0,0,0,Terazi,0,1,0,ramen,0.0,0,0,0,0,0,0,0,1,1,0,1,0
Filiz Akın,0,0,81,1,1,1,0,0,0,1,0,0,0,97,165,1,1,1943,Oyuncu,Türk,0,0,0,0,0,Yeşilçam'ın Avrupai yüzü ve sarışın yıldızı,0,1,0,0,0,0,Capricorn,1,0,1,Salata,0,0,0,0,0,0,0,0,1,0,0,0,1
Vinicius Junior,1,0,26,1,0,0,0,0,0,0,0,1,0,92,176,0,1,2000,Futbolcu,Uluslararası,0,0,1,0,0,"Real Madrid left wing, Champions League final goal, explosive dribbling",0,0,0,0,0,0,Başak,1,1,0,steak,0.0,0,0,0,1,0,0,0,0,0,0,1,0
Hakan Çalhanoğlu,1,0,32,1,1,0,0,1,0,0,0,1,0,84,178,2,1,1994,Futbolcu,Türk,1,0,1,0,0,"Inter midfield, free kicks, Turkey captain",0,0,0,0,0,0,Başak,0,0,0,kuru fasulye,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Mysterio,1,1,0,0,0,1,0,1,0,0,0,0,0,82,180,0,1,0,0,Kurgusal Kötü Adam,Amerikalı,1,0,0,0,0,"illusion drones, Spider-Man Far From Home, fake multiverse story",0,0,0,0,1,Yay,0,1,0,spagetti,0,0,0,0,0,0,0,0,0,0,0,1,0
Nurgül Yeşilçay,1,0,50,0,1,1,0,1,0,1,0,0,0,88,0,1,1,1976,Oyuncu,Türk,0,0,0,0,0,"Asmalı Konak Bahar, İkinci Bahar, Paramparça, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Yengeç,0,1,1,kokoreç,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Cyclops,1,1,35,1,0,1,0,1,0,0,0,0,0,79,191,0,1,0,Kurgusal Kahraman,Amerikalı,0,1,0,0,0,"Scott Summers, optik ışın, X-Men lideri",0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
Denzel Washington,1,0,69,1,0,1,0,0,0,1,0,0,0,99,185,4,1,1954,Oyuncu,ABD,1,0,0,0,0,The Equalizer ve Training Day, 2 Oscars,1,0,0,0,0,0,Oğlak,0,1,0,Meze,0.0,0,0,0,0,0,1,0,0,1,0,0,1
Azra Akın,0,0,45,1,1,0,0,0,0,0,0,0,0,82,176,1,1,1981,Model,Türk,0,0,0,0,0,"Miss World 2002, Dans yarışması, mankenlik",0,1,0,0,0,0,Oğlak,0,1,1,sarma,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Melisa Aslı Pamuk,0,0,35,0,1,1,0,1,0,1,0,0,0,82,176,1,1,1991,Oyuncu,Türk,0,0,0,0,0,"Kara Sevda Asu, Çarpışma Cemre, Miss Turkey 2011",0,0,0,0,0,0,Terazi,0,1,0,çiğ köfte,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Uzi,1,0,26,0,1,0,0,0,0,0,1,0,0,94,172,0,1,1998,Rapçi,Türk,1,0,0,1,0,Arasan da ve Paparazzi,0,0,0,0,0,0,Virgo,1,0,0,Hamburger,3.8,0,0,0,0,0,0,0,0,1,0,1,0
Misa Amane,0,1,19,0,0,0,1,0,0,1,0,0,0,94,152,0,0,1987,Anime,Japon,0,0,0,0,0,İkinci Kira olan ünlü model kız,0,0,1,0,0,0,Oğlak,1,0,0,Çikolata,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Rüştü Reçber,1,0,51,1,1,1,0,0,0,0,0, Kaleci,0,94,187,2,1,1973,Sporcu,Türk,0,0,1,0,0,Barcelona ve Fenerbahçe efsane kaleci,0,0,0,0,0,0,Taurus,0,1,0,Balık,0,0,1,0,0,0,0,0,1,1,0,0,1
Mark Ruffalo,1,0,59,0,0,1,0,1,0,1,0,0,0,90,173,1,1,1967,Oyuncu,Amerikalı,1,0,0,0,0,"Hulk, Spotlight, çevre aktivizmi",0,0,0,0,0,0,Terazi,0,0,0,ramen,0.0,0,0,0,0,0,0,0,0,0,0,1,1
Oktay Kaynarca,1,0,61,0,1,1,0,1,0,1,0,0,0,90,176,1,1,1965,Oyuncu,Türk,1,0,0,0,0,"Kurtlar Vadisi Süleyman Çakır, Eşkıya Dünyaya Hükümdar Olmaz Hızır, Ben Bu Cihana Sığmazam, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Terazi,0,1,0,baklava,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Cengiz Kurtoğlu,1,0,67,0,1,0,0,0,0,0,1,0,0,84,175,1,1,1959,Müzisyen,Türk,0,0,0,0,0,"Duyanlara Duymayanlara, Yorgun Yıllarım, fantezi müzik",0,0,0,0,0,0,Oğlak,1,1,1,taco,1,0,0,0,0,0,0,0,0,0,0,0,0
Barış Arduç,1,0,36,1,1,1,0,1,0,1,0,0,0,96,187,1,1,1987,Oyuncu,Türk,1,0,0,0,0,Kiralık Aşk Ömer ve Alparslan Selçuklu,0,1,0,0,0,0,Libra,0,1,0,Steak,0,0,0,0,0,0,0,0,0,1,0,0,0
Hande Erçel,0,0,30,0,1,0,0,1,0,1,0,0,0,97,175,0,1,1993,Oyuncu,Türk,0,0,0,0,0,Güneşin Kızları ve Sen Çal Kapımı,0,1,0,0,0,0,Sagittarius,1,1,1,Deniz ürünleri,0,0,0,0,0,0,0,0,0,1,0,0,0
Chris Evans,1,0,45,0,0,1,0,1,0,1,0,0,0,94,183,0,1,1981,Oyuncu,Amerikalı,1,0,0,0,0,"Captain America, Knives Out, Marvel yıldızlığı",0,0,0,0,0,0,İkizler,0,0,0,burger,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Kafalar Atakan Özyurt,1,0,31,1,1,1,0,1,0,1,0,0,0,76,174,0,1,1995,Youtuber,Türk,1,0,0,0,1,"Kafalar, komedi videoları, Kafalar Karışık",0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
Cem Karaca,1,0,59,1,1,1,0,0,0,1,1,0,1,97,184,1,0,1945,Şarkıcı,Türk,1,1,0,0,0,Anadolu Rock efsanesi ve Tamirci Çırağı,0,0,0,0,0,0,Aries,0,0,0,Köfte,0.9,0,0,0,0,0,0,0,0,1,1,1,1
Magneto,1,1,0,0,0,1,0,1,0,0,0,0,0,90,188,0,1,0,Marvel kötü adamı,Kurgusal,0,0,0,0,0,"manyetizma kontrolü, mutant hakları, metal bükme",0,0,0,0,1,0,Koç,1,1,0,lahmacun,0,0,0,0,0,0,0,0,0,0,1,1,0
Moana,0,1,0,0,0,1,0,1,0,0,0,0,0,90,165,0,1,0,Çizgi Karakter,Kurgusal,0,0,0,0,0,"ocean chosen, wayfinder, Te Fiti heart",0,0,0,0,0,0,Koç,0,1,0,pizza,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Alparslan Türkeş,1,0,80,1,1,0,0,0,1,0,0,0,1,93,175,7,0,1917,Politikacı,Türk,0,0,0,0,0,Başbuğ lakaplı MHP kurucusu,0,0,0,0,0,0,Sagittarius,0,0,0,None,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Ivana Sert,0,0,46,1,1,0,0,1,0,0,0,0,0,76,180,1,1,1979,Model,Türk,0,0,0,0,0,"Bugün Ne Giysem, moda jüriliği, ikonik aksanı",0,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Neslihan Atagül,0,0,31,1,1,1,0,1,0,1,0,0,0,95,168,0,1,1992,Oyuncu,Türk,0,0,0,0,0,Kara Sevda Nihan ve Sefirin Kızı Nare,0,1,0,0,0,0,Leo,1,1,1,Patates,0,0,0,0,0,0,0,0,0,1,0,0,0
Saitama,1,1,0,0,0,1,1,1,0,0,0,0,0,92,175,0,1,0,Anime Karakteri,Japon,1,0,0,0,0,"One Punch Man, bald hero, one-punch victories",0,0,0,0,0,1,Yay,0,0,0,sütlaç,0.0,0,0,0,0,0,0,0,0,0,1,0,0
Ryomen Sukuna,1,1,0,0,0,0,1,1,0,0,0,0,0,90,173,0,1,0,0,Anime Karakteri,Japon,0,0,0,0,0,"Jujutsu Kaisen, cursed king, domain expansion",0,0,0,0,1,Boğa,0,1,1,ramen,0,0,0,0,0,0,0,0,0,0,0,0,0
Yor Forger,0,1,0,0,0,0,1,1,0,0,0,0,0,86,170,0,1,0,0,Anime Karakteri,Japon,0,0,0,0,0,"Spy x Family, Thorn Princess assassin, fake marriage",0,0,0,0,0,Balık,1,0,0,sushi,0,0,0,0,0,0,0,0,0,0,0,1,0
Anya Forger,0,1,0,0,0,0,1,1,0,0,0,0,0,88,99,0,1,0,0,Anime Karakteri,Japon,0,0,0,0,0,"Spy x Family, telepathy, peanuts sevgisi",0,0,0,0,0,Terazi,0,0,0,sushi,0,0,0,0,0,0,0,0,0,0,0,0,0
Denji,1,1,0,0,0,0,1,1,0,0,0,0,0,86,173,0,1,0,0,Anime Karakteri,Japon,0,0,0,0,0,"Chainsaw Man, chainsaw demon heart, Makima saplantısı",0,0,0,0,0,Kova,1,1,0,ramen,0,0,0,0,0,0,0,0,0,0,0,1,0
Lord Shen,1,1,0,0,0,1,0,1,0,0,0,0,0,80,170,0,1,0,0,Animasyon Karakteri,Amerikalı,0,0,0,0,0,"Kung Fu Panda 2, peacock villain, cannon army",0,0,0,0,1,Yengeç,0,0,1,elmalı turta,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeke Yeager,1,1,0,0,0,0,1,1,0,0,0,0,0,84,183,0,1,0,0,Anime Karakteri,Japon,0,0,0,0,0,"Attack on Titan, Beast Titan, euthanasia plan",0,0,0,0,1,Aslan,1,0,0,ramen,0,0,0,0,0,0,0,0,0,0,0,1,0
Hugh Grant,1,0,66,1,0,1,0,1,0,1,0,0,0,86,180,5,1,1960,Oyuncu,Amerikalı,1,0,0,0,0,"Notting Hill William, Four Weddings, Love Actually",0,0,1,0,0,0,Koç,0,0,0,pizza,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Keira Knightley,0,0,41,1,0,1,0,1,0,1,0,0,0,86,170,2,1,1985,Oyuncu,Amerikalı,0,0,0,0,0,"Pirates Elizabeth Swann, Pride & Prejudice, Atonement",0,0,0,0,0,0,Yengeç,0,1,1,pasta,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Hezarfen Ahmed Çelebi,1,0,417,0,1,0,0,0,1,0,0,0,1,82,0,0,0,1609,Mucit,Türk,1,0,0,0,0,"Galata'dan Üsküdar'a uçuş rivayeti, kanat denemesi, Osmanlı mucidi",0,0,0,0,0,0,Kova,0,0,0,kebap,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Sigourney Weaver,0,0,77,1,0,1,0,1,0,1,0,0,0,88,182,1,1,1949,Oyuncu,Amerikalı,0,0,0,0,0,"Alien Ellen Ripley, Avatar Grace, Ghostbusters",0,0,0,0,0,0,Akrep,0,1,1,pancake,0.0,0,0,0,0,0,0,0,1,0,0,0,1
Maggie Gyllenhaal,0,0,49,1,0,1,0,1,0,1,0,0,0,78,175,2,1,1977,Oyuncu,Amerikalı,0,0,0,0,0,"The Deuce, The Dark Knight Rachel, The Lost Daughter director",1,0,0,0,0,0,Balık,0,0,0,ice cream,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Orlando Bloom,1,0,49,1,0,1,0,1,0,1,0,0,0,86,180,2,1,1977,Oyuncu,Amerikalı,1,0,0,0,0,"Legolas, Pirates of the Caribbean Will, Troy Paris",0,0,0,0,0,0,Yay,0,0,0,fried chicken,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Jodie Foster,0,0,64,1,0,1,0,1,0,1,0,0,0,88,160,2,1,1962,Oyuncu,Amerikalı,0,0,0,0,0,"The Silence of the Lambs Clarice, Taxi Driver, Contact",1,0,0,0,0,0,Kova,0,1,0,hot dog,0.0,0,0,0,0,0,1,0,1,0,0,0,1
Daniel Day-Lewis,1,0,69,1,0,1,0,1,0,1,0,0,0,90,187,3,1,1957,Oyuncu,Amerikalı,1,0,0,0,0,"There Will Be Blood Daniel Plainview, Lincoln, My Left Foot",0,0,0,0,0,0,Aslan,0,0,0,taco,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Nazan Öncel,0,0,70,1,1,1,0,1,0,1,1,0,0,84,160,1,1,1956,Müzisyen,Türk,0,0,0,0,0,"Gitme Kal Bu Şehirde, Erkekler de Yanar, söz yazarlığı",0,0,0,0,0,0,Aslan,0,0,0,baklava,7.0,0,0,0,0,0,0,0,1,1,0,0,1
Gloria the Hippo,0,1,0,0,0,1,0,1,0,0,0,0,0,82,170,0,1,0,0,Animasyon Karakteri,Amerikalı,0,0,0,0,0,"Madagascar, hippo confidence, zoo friend group",0,0,0,0,0,Yengeç,0,0,1,elmalı turta,0,0,0,0,0,0,0,0,0,0,0,0,0
Melman,1,1,0,0,0,1,0,1,0,0,0,0,0,82,300,0,1,0,0,Animasyon Karakteri,Amerikalı,0,0,0,0,0,"Madagascar, hypochondriac giraffe, Gloria crush",0,0,0,0,0,İkizler,1,1,0,burger,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanda Waller,0,1,0,0,0,1,0,1,0,0,0,0,0,78,165,1,1,0,0,Kurgusal Karakter,Amerikalı,0,0,0,0,0,"Task Force X, Suicide Squad control, ruthless strategy",0,0,0,0,0,Boğa,1,1,1,ramen,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurapika,1,1,17,0,0,0,1,0,0,0,0,0,0,94,171,0,1,1995,Anime,Japon,0,0,0,0,0,Zincir kullanan intikamcı,0,0,0,0,0,1,Aries,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0
Minion Stuart,1,1,0,0,0,1,0,1,0,0,0,0,0,84,95,0,1,0,0,Animasyon Karakteri,Amerikalı,0,0,0,0,0,"Minions, one-eyed minion, ukulele",0,0,0,0,0,Oğlak,0,0,1,patates kızartması,0,0,0,0,0,0,0,0,0,0,0,0,0
Hector Rivera,1,1,0,0,0,1,0,1,0,0,0,0,0,86,175,0,1,0,0,Animasyon Karakteri,Amerikalı,0,0,0,0,0,"Coco, Remember Me, forgotten skeleton father",0,0,0,0,0,İkizler,0,1,0,burger,0,0,0,0,0,0,0,0,0,0,0,0,0
Hela,0,1,0,0,0,1,0,1,0,0,0,0,0,86,175,0,1,0,0,Kurgusal Kötü Adam,Amerikalı,0,0,0,0,0,"Asgard goddess of death, Thor Ragnarok, necroswords",0,0,0,0,1,Terazi,1,0,0,dondurma,0,0,0,0,0,0,0,0,0,0,0,0,0
İsmail Demirci,1,0,42,0,1,1,0,1,0,1,0,0,0,78,0,0,1,1984,Oyuncu,Türk,0,0,0,0,0,"Kuzey Yıldızı İlk Aşk, Hande Soral evliliği, Ben Onu Çok Sevdim",0,0,1,0,0,0,Balık,0,0,0,gözleme,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Peacemaker,1,1,0,0,0,1,0,1,0,0,0,0,0,82,185,0,1,0,0,Kurgusal Karakter,Amerikalı,1,0,0,0,0,"peace at any cost, helmet weapons, Suicide Squad spin-off",0,0,0,0,0,Kova,0,0,0,kurabiye,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex the Lion,1,1,0,0,0,1,0,1,0,0,0,0,0,86,180,0,1,0,0,Animasyon Karakteri,Amerikalı,0,0,0,0,0,"Madagascar, New York zoo star, steak-loving lion",0,0,0,0,0,Başak,0,0,0,balık,0,0,0,0,0,0,0,0,0,0,0,0,0
Sisu,0,1,0,0,0,1,0,1,0,0,0,0,0,82,250,0,1,0,0,Animasyon Karakteri,Amerikalı,0,0,0,0,0,"Raya and the Last Dragon, water dragon, goofy magic",0,0,0,0,0,Koç,1,1,0,pizza,1,0,0,0,0,0,0,0,0,0,0,0,0
Penélope Cruz,0,0,52,1,0,1,0,1,0,1,0,0,0,90,168,0,1,1974,Oyuncu,İspanyol,0,1,0,0,0,"Vicky Cristina Barcelona, Volver, Almodóvar filmleri",0,0,0,0,0,0,Aslan,1,0,0,taco,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Aizen Sosuke,1,1,0,0,0,0,1,1,0,0,0,0,0,86,186,0,1,0,0,Anime Karakteri,Japon,0,0,0,0,0,"Bleach, Kyoka Suigetsu, betrayal mastermind",0,0,0,0,1,Başak,1,0,0,ramen,0,0,0,0,0,0,0,0,0,0,0,1,0
Helena Bonham Carter,0,0,57,0,0,1,0,0,0,1,0,0,0,95,157,2,1,1966,Oyuncu,İngiliz,0,0,0,0,0,Bellatrix Lestrange ve Harry Potter,0,0,0,0,0,0,Gemini,0,0,1,Pasta,0.0,0,0,0,0,0,0,0,1,1,0,0,1
Edward Norton,1,0,57,1,0,1,0,1,0,1,0,0,0,88,183,1,1,1969,Oyuncu,Amerikalı,0,0,0,0,0,"Fight Club narrator, American History X, Primal Fear",1,0,0,0,0,0,Balık,0,0,0,ice cream,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Carell,1,0,64,1,0,1,0,1,0,1,0,0,0,88,175,2,1,1962,Oyuncu,Amerikalı,1,0,0,0,0,"The Office Michael Scott, Foxcatcher, The 40-Year-Old Virgin",0,0,1,0,0,0,Terazi,0,0,0,ramen,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Viggo Mortensen,1,0,68,1,0,1,0,1,0,1,0,0,0,88,180,1,1,1958,Oyuncu,Amerikalı,0,0,0,0,0,"Aragorn, Green Book, Eastern Promises",0,0,0,0,0,0,Akrep,0,1,1,pancake,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Kösem Sultan,0,0,437,1,1,0,0,1,1,0,0,0,1,86,0,1,0,1589,Tarihî Figür,Türk,0,0,0,0,0,"Osmanlı valide sultanlığı, naibe yönetimi, saray gücü",0,0,0,0,0,0,Boğa,1,0,1,kebap,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Astrid Hofferson,0,1,0,0,0,1,0,1,0,0,0,0,0,82,170,0,1,0,0,Animasyon Karakteri,Amerikalı,0,0,0,0,0,"How to Train Your Dragon, Stormfly ejderhası, savaşçı Viking",0,0,0,0,0,Boğa,0,1,1,ramen,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Banderas,1,0,66,1,0,1,0,1,0,1,0,0,0,88,174,1,1,1960,Oyuncu,Uluslararası,1,0,0,0,0,"Zorro, Desperado, Pain and Glory",1,0,0,0,0,0,Koç,0,1,0,pizza,0.0,0,0,0,0,0,0,0,1,0,0,1,0
Evliya Çelebi,1,0,415,0,1,0,0,0,1,0,0,0,1,86,0,0,0,1611,Gezgin,Türk,1,0,0,0,0,"Seyahatname, 17. yüzyıl gezileri, abartılı anlatılar",0,0,0,0,0,0,Terazi,0,1,0,kebap,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Margo,0,1,0,0,0,1,0,1,0,0,0,0,0,78,145,0,1,0,0,Animasyon Karakteri,Amerikalı,0,0,0,0,0,"Despicable Me, responsible sister, Gru's adopted daughter",0,0,0,0,0,Kova,0,1,0,kurabiye,0,0,0,0,0,0,0,0,0,0,0,0,0
Toji Fushiguro,1,1,0,0,0,0,1,1,0,0,0,0,0,86,188,0,1,0,0,Anime Karakteri,Japon,0,0,0,0,0,"Jujutsu Kaisen, Heavenly Restriction, Sorcerer Killer",0,0,0,0,0,İkizler,1,0,0,ramen,0,0,0,0,0,0,0,0,0,0,0,0,0
Muzan Kibutsuji,1,1,0,0,0,0,1,1,0,0,0,0,0,88,179,0,1,0,0,Anime Karakteri,Japon,1,0,0,0,0,"Demon Slayer, ilk demon, Michael Jackson benzeri görünüm",0,0,0,0,1,Oğlak,0,0,1,ramen,0,0,0,0,0,0,0,0,0,0,0,0,0
Makima,0,1,0,0,0,0,1,1,0,0,0,0,0,88,168,0,1,0,0,Anime Karakteri,Japon,0,0,0,0,0,"Chainsaw Man, Control Devil, manipülasyon",0,0,0,0,1,Aslan,0,1,0,sushi,0,0,0,0,0,0,0,0,0,0,0,0,0
Agnes,0,1,0,0,0,1,0,1,0,0,0,0,0,84,110,0,1,0,0,Animasyon Karakteri,Amerikalı,0,0,0,0,0,"Despicable Me, fluffy unicorn, innocent excitement",0,0,0,0,0,İkizler,0,0,0,burger,0,0,0,0,0,0,0,0,0,0,0,0,0
